127.0.0.1 - - [09/Jul/2019:21:46:54 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/index.html HTTP/1.1" 200 5314
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/css/main.css HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/js/setHomeSetFav.js HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/js/myfocus-2.0.1.min.js HTTP/1.1" 200 10177
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/js/mf-pattern/mF_fancy.css HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/js/mf-pattern/mF_fancy.js HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/ad2.jpg HTTP/1.1" 200 39920
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/ad4.jpg HTTP/1.1" 200 61710
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/logo.png HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/ad3.jpg HTTP/1.1" 200 67571
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/footer.png HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/news.jpg HTTP/1.1" 200 16882
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:55 +0800] "GET /webdemo/images/css.jpg HTTP/1.1" 200 13982
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:56 +0800] "GET /webdemo/css/images/search.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:46:56 +0800] "GET /webdemo/css/images/list.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/js/setHomeSetFav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/js/myfocus-2.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/js/mf-pattern/mF_fancy.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/js/mf-pattern/mF_fancy.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/ad2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/ad3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/ad4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/news.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/css.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/images/footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/css/images/search.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /webdemo/css/images/list.jpg HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jul/2019:21:47:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
